Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
9024,SEIBU HOLDINGS INC,JP3417200007,TSE,JPY,7600,3409.0
9042,HANKYU HANSHIN HOLDINGS INC,JP3774200004,TSE,JPY,8400,4720.0
9101,NIPPON YUSEN KK,JP3753000003,TSE,JPY,1600,7101.0
9104,MITSUI O.S.K. LINES LTD,JP3362700001,TSE,JPY,1100,7278.0
9107,KAWASAKI KISEN KAISHA LTD,JP3223800008,TSE,JPY,1400,3405.0
9202,ANA HOLDINGS INC,JP3429800000,TSE,JPY,700,3040.0
9432,NTT INC,JP3735400008,TSE,JPY,584100,166.1
9433,KDDI CORP (DDI) ORD,JP3496400007,TSE,JPY,56600,2915.5
9434,SOFTBANK CORP,JP3732000009,TSE,JPY,557400,233.8
9435,HIKARI TSUSHIN INC ORD,JP3783420007,TSE,JPY,100,39410.0
9502,CHUBU ELECTRIC POWER CO INC ORD,JP3526600006,TSE,JPY,2500,2906.5
9503,KANSAI ELECTRIC POWER CO ORD,JP3228600007,TSE,JPY,4100,2610.0
9531,TOKYO GAS CO LTD,JP3573000001,TSE,JPY,300,6090.0
9532,OSAKA GAS CO LTD,JP3180400008,TSE,JPY,400,5551.0
9602,TOHO CO LTD ORD,JP3598600009,TSE,JPY,10000,1543.5
9697,CAPCOM CO LTD,JP3218900003,TSE,JPY,5000,4130.0
9735,SECOM CO LTD ORD,JP3421800008,TSE,JPY,7600,6413.0
9766,KONAMI GROUP CORP,JP3300200007,TSE,JPY,1800,21885.0
9843,NITORI HOLDINGS CO LTD,JP3756100008,TSE,JPY,13700,3029.0
9983,FAST RETAILING CO LTD ORD,JP3802300008,TSE,JPY,6800,73510.0
9984,SOFTBANK GROUP CORP,JP3436100006,TSE,JPY,72600,5255.0
,MINI-TPX FUTURES SEP.2026,,OSE,JPY,8.0,4076
ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date,,
2848,Global X MSCI Japan Climate Change ETF,32107615.0,4791116,20260824,,
,,,,,,
