No.,種別 （Sector）,銘柄コード （Code）,ISINコード,銘柄 （Name）,国（地域）名,Country (Region),通貨,Currency,残高数量 Quantity,単価 Price,評価金額（現地通貨） Valuation (local),為替レート FX Rate,評価金額(円） Valuation (yen),純資産比率 % of NAV,クーポン Coupon,修正デュレーション Modified Duration,償還日 Maturity Date,MOTHER FUND/DIRECT
74,国債,B.20330222.GB00,USP3579ECN50,DOMINICAN REPUBLIC,ドミニカ共和国,DO,アメリカ・ドル,USD,150064.5523,99.47,149269.2102451225,160.72,23990547.49560685,0.006223973249799857,6,5.12987674010802,2033-02-22 00:00:00,MOTHER FUND
75,国債,B.20330420.GB00,US195325EF88,REPUBLIC OF COLOMBIA,コロンビア,CO,アメリカ・ドル,USD,137559.173,108.40000000000002,149114.143541004,160.72,23965625.1499102,0.006217507536044611,8,5.06503044988437,2033-04-20 00:00:00,MOTHER FUND
76,国債,B.20460706.GB00,US718286CP01,REPUBLIC OF PHILIPPINES,フィリピン,PH,アメリカ・ドル,USD,225096.8286,65.78015,148069.031471384,160.72,23797654.707567703,0.006173930225435581,3.2,13.0396475190703,2046-07-06 00:00:00,MOTHER FUND
77,国債,B.20310522.GB00,US900123DV94,REPUBLIC OF TURKIYE,トルコ,TR,アメリカ・ドル,USD,150064.55229999998,98.29245000000002,147502.1251086579,160.72,23706541.51394914,0.006150292328889468,6.375,4.02817773667721,2031-05-22 00:00:00,MOTHER FUND
78,国債,B.20330718.GB00,XS2577135127,SAUDI INTERNATIONAL BOND,サウジアラビア,SA,アメリカ・ドル,USD,150064.5524,97.66746,146564.236662784,160.72,23555804.109639704,0.006111185861130113,4.875,5.8149699945674,2033-07-18 00:00:00,MOTHER FUND
79,国債,B.20330522.GB00,XS2626274463,KSA SUKUK LTD,ケイマン諸島（英領）,KY,アメリカ・ドル,USD,150064.5524,96.09697000000001,144207.4878742261,160.72,23177027.423533686,0.006012918159552924,4.511,5.72065041009261,2033-05-22 00:00:00,MOTHER FUND
80,国債,B.20300916.GB00,XS3114901336,ROMANIA,ルーマニア,RO,アメリカ・ドル,USD,143811.8627,100.05637,143892.92943750072,160.72,23126471.61374276,0.005999802243468961,5.75,3.55566648023115,2030-09-16 00:00:00,MOTHER FUND
81,国債,B.20320702.GB00,US91087BBE92,UNITED MEXICAN STATES,メキシコ,MX,アメリカ・ドル,USD,143811.8627,100.005,143819.053283637,160.72,23114598.256251503,0.005996721886114698,5.85,4.76417597522394,2032-07-02 00:00:00,MOTHER FUND
82,国債,B.20370331.GB00,XS3328007870,REPUBLIC OF ANGOLA,アンゴラ共和国,AO,アメリカ・ドル,USD,137559.173,103.70720000000001,142658.76667007,160.72,22928116.976212405,0.005948342227469379,9.875,6.39506599199393,2037-03-31 00:00:00,MOTHER FUND
83,国債,B.20360414.GB01,US857524AK89,REPUBLIC OF POLAND,ポーランド,PL,アメリカ・ドル,USD,143811.8626,98.85809000000002,142169.6606492534,160.72,22849507.84889341,0.0059279483158375945,5.375,7.30467801046083,2036-04-14 00:00:00,MOTHER FUND
84,国債,B.20320606.GB00,US71567RAV87,PERUSAHAAN PENERBIT SBSN,インドネシア,ID,アメリカ・ドル,USD,143811.8627,97.325,139964.895363531,160.72,22495157.9828268,0.0058360177716150164,4.7,5.00524186862961,2032-06-06 00:00:00,MOTHER FUND
85,国債,B.20340201.GB01,XS2895056955,UKRAINE GOVERNMENT,ウクライナ,UA,アメリカ・ドル,USD,250107.5873,55.39000000000001,138534.592598729,160.72,22265279.7224677,0.00577637944350068,0,7.21709534504973,2034-02-01 00:00:00,MOTHER FUND
86,国債,B.20290114.GB01,XS2689091846,HAZINE MUSTESARLIGI VARL,トルコ,TR,アメリカ・ドル,USD,131306.4833,105.41463,138416.243564231,160.72,22246258.6652931,0.005771444726981214,8.5091,2.20065551407064,2029-01-14 00:00:00,MOTHER FUND
87,国債,B.20340212.GB00,US91087BAR15,UNITED MEXICAN STATES,メキシコ,MX,アメリカ・ドル,USD,162569.93170000002,84.25,136965.167488498,160.72,22013041.718751386,0.00571094022882662,3.5,6.15849218916603,2034-02-12 00:00:00,MOTHER FUND
88,国債,B.20360330.GB00,US715638FC12,REPUBLIC OF PERU,ペルー,PE,アメリカ・ドル,USD,137559.173,99.05,136252.360864727,160.72,21898479.438179005,0.005681218832520465,5.5,7.22633597431544,2036-03-30 00:00:00,MOTHER FUND
89,国債,B.20340515.GB01,US900123DK30,REPUBLIC OF TURKEY,トルコ,TR,アメリカ・ドル,USD,131306.4833,102.79565,134977.353027217,160.72,21693560.164278205,0.005628055724035319,7.625,5.75106815609055,2034-05-15 00:00:00,MOTHER FUND
90,国債,B.20360201.GB00,XS2895056526,UKRAINE GOVERNMENT,ウクライナ,UA,アメリカ・ドル,USD,200086.0698,66.84000000000002,133737.5290745485,160.72,21494295.635345303,0.0055763596509073735,4.5,4.46409033787916e-05,2036-02-01 00:00:00,MOTHER FUND
91,国債,B.20330727.GB00,US168863DT21,REPUBLIC OF CHILE,チリ,CL,アメリカ・ドル,USD,156317.2421,84.5,132088.069536385,160.72,21229194.535887804,0.005507583306731895,2.55,5.97463972901228,2033-07-27 00:00:00,MOTHER FUND
92,国債,B.20270606.GB00,US71567RAU05,PERUSAHAAN PENERBIT SBSN,インドネシア,ID,アメリカ・ドル,USD,131306.4833,100.48241,131939.918932324,160.72,21205383.7933629,0.005501405981076447,4.4,0.824267313892895,2027-06-06 00:00:00,MOTHER FUND
93,国債,B.20360127.GB00,US718286DK05,REPUBLIC OF PHILIPPINES,フィリピン,PH,アメリカ・ドル,USD,137559.173,95.90885000000002,131931.420901777,160.72,21204017.955828704,0.005501051635837849,5,7.41799205546076,2036-01-27 00:00:00,MOTHER FUND
94,国債,B.20310318.GB01,US105756CG37,FED REPUBLIC OF BRAZIL,ブラジル,BR,アメリカ・ドル,USD,125053.7936,103.1,128930.461246876,160.72,20721703.731598,0.005375922735375716,6.25,3.90992973455445,2031-03-18 00:00:00,MOTHER FUND
95,国債,B.20360507.GB00,US91087BAZ31,UNITED MEXICAN STATES,メキシコ,MX,アメリカ・ドル,USD,131306.4833,97.72500000000001,128319.260830442,160.72,20623471.6006686,0.005350437941613199,6,6.92890776914848,2036-05-07 00:00:00,MOTHER FUND
96,国債,B.20350926.GB01,XS3101499260,HUNGARY,ハンガリー,HU,アメリカ・ドル,USD,125053.7936,102.05651,127625.5374155812,160.72,20511976.389439162,0.0053215122485959845,6,6.86341330883026,2035-09-26 00:00:00,MOTHER FUND
97,国債,B.20360105.GB00,US168863DZ80,REPUBLIC OF CHILE,チリ,CL,アメリカ・ドル,USD,131306.4833,97.10000000000001,127498.595309653,160.72,20491574.2381675,0.005316219228760716,4.95,7.14899237962513,2036-01-05 00:00:00,MOTHER FUND
98,国債,B.20380517.GB00,USP3579EDB04,DOMINICAN REPUBLIC,ドミニカ共和国,DO,アメリカ・ドル,USD,131306.4833,96.20000000000002,126316.8369597182,160.72,20301642.03616599,0.005266944282253162,6.15,7.86691259300494,2038-05-17 00:00:00,MOTHER FUND
99,国債,B.20300604.GB00,XS2829208599,KSA SUKUK LTD,ケイマン諸島（英領）,KY,アメリカ・ドル,USD,125053.7936,101.00771000000002,126313.973227844,160.72,20301181.7756785,0.005266824874850617,5.25,3.42221356572171,2030-06-04 00:00:00,MOTHER FUND
