Fund Holdings as of,"2026/08/21"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"NA9","NAGARRO N","Information Technology","Equity","2,190,156.89","0.04","2,190,156.89","24,027.00","-","Germany","Xetra","JPY","-","EUR"
"2388","VIA TECHNOLOGIES","Information Technology","Equity","2,138,990.19","0.04","2,138,990.19","933,000.00","-","Taiwan","Taiwan Stock Exchange","JPY","-","TWD"
"6258","HIRATA CORP","Industrials","Equity","2,129,535.48","0.04","2,129,535.48","98,800.00","-","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"1723","NIHON DENGI LTD","Industrials","Equity","2,097,834.38","0.04","2,097,834.38","161,800.00","-","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"2432","SHENZHEN DOBOT TECHNOLOGY CORP LTD","Industrials","Equity","2,088,935.82","0.04","2,088,935.82","660,800.00","-","China","Hong Kong Exchanges And Clearing Ltd","JPY","-","HKD"
"4919","NUVOTON TECHNOLOGY","Information Technology","Equity","2,042,774.57","0.04","2,042,774.57","552,000.00","-","Taiwan","Taiwan Stock Exchange","JPY","-","TWD"
"6104","SHIBAURA MACHINE LTD","Industrials","Equity","2,034,432.17","0.04","2,034,432.17","75,340.00","-","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"900926","SHANGHAI BAOSIGHT SOFTWARE LTD B","Information Technology","Equity","2,003,843.39","0.04","2,003,843.39","2,229,088.00","-","China","Shanghai Stock Exchange","JPY","-","USD"
"6652","IDEC CORP","Industrials","Equity","1,981,597.00","0.04","1,981,597.00","85,900.00","-","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"MLAB","MESA LABORATORIES","Health Care","Equity","1,961,019.09","0.04","1,961,019.09","16,476.00","-","United States","NASDAQ","JPY","-","USD"
"PENTA","PENTAMASTER CORPORATION","Industrials","Equity","1,889,830.65","0.03","1,889,830.65","1,429,800.00","-","Malaysia","Bursa Malaysia","JPY","-","MYR"
"PLNW","PLANISWARE SA","Information Technology","Equity","1,884,269.05","0.03","1,884,269.05","64,966.00","-","France","Nyse Euronext - Euronext Paris","JPY","-","EUR"
"4776","CYBOZU INC","Information Technology","Equity","1,879,263.62","0.03","1,879,263.62","97,100.00","-","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"QLTU","QUALITAU LTD","Information Technology","Equity","1,847,006.35","0.03","1,847,006.35","14,227.00","-","Israel","Tel Aviv Stock Exchange","JPY","-","ILS"
"ANOD B","ADDNODE GROUP CLASS B","Information Technology","Equity","1,697,955.56","0.03","1,697,955.56","384,365.00","-","Sweden","Nasdaq Omx Nordic","JPY","-","SEK"
"TXT","TXT E-SOLUTIONS","Information Technology","Equity","1,645,120.38","0.03","1,645,120.38","26,544.00","-","Italy","Borsa Italiana","JPY","-","EUR"
