Ticker,Name,Fee,TER,Bought,ROA,Net Margin,Operating Margin,Debt To Equity,Earnings Growth,Dividend yield,Vol 1D,Vol 3D,Vol 5D,Vol 30D,Avg Volume,Market cap,PE ratio,Forward PE ratio,PB,Price 1D,Price 3D,Price 5D,Price 7D,Price 10D,Price 15D,Price 20D,Price 30D,Target high %,Target low %,Target mean %,Current price,Avg Rating 1D,Avg Rating 7D,Avg Rating Score,Avg Rating Label,Growth,Sector,Note
6504,"Fuji Electric Co., Ltd.",,,,0.0622,0.07986,0.16527,0.1003,0.328,0.0164,-0.452265037760471,-0.255403071889485,-0.306331738239152,-0.167557894601464,11544449700,1902274674688,19.607841,21.451385,2.4002404,0.00423892100192678,-0.0139992432841468,-0.0376661742983752,-0.0755587087619723,-0.0475146198830409,-0.111489942038868,-0.0358860525342212,-0.156088082901554,0.573292402148887,-0.125095932463546,0.191864927091328,13030,,,1.9,Buy,0.914059441849559,Industrials,-
6506,YASKAWA Electric Corporation,,,,0.037049998,0.065,0.087969996,0.25293,-0.157,0.0103,0.163673103879984,0.100066958696417,0.104320602325986,-0.0608071625131027,35448157920,1808313352192,51.28356,34.028015,3.7397234,0.022887323943662,0.0104347826086957,-0.0677898114721219,-0.0451930977814297,0.0237885462555066,-0.0218855218855219,0.100552486187845,-0.0327413984461709,0.31956397016638,-0.268502581755594,-0.0162329747561675,6972,,,1.9,Buy,1.5070981954134,Industrials,-
6525,KOKUSAI ELECTRIC CORPORATION,,,,0.07438,0.12804,0.14837,0.22741,-0.272,0.0044,0.0395492380966512,0.297666980218057,0.370154156271415,0.0109239438469391,101804618800,2531759751168,84.031006,56.676777,11.544417,0.00277520814061055,0.05859375,-0.0966666666666667,-0.0507880910683012,0.0861723446893788,0.0664043285784555,0.221408450704225,0.320180246011448,0.476014760147601,-0.640221402214022,-0.112930535055351,10840,,,1.8,Buy,1.48263557753116,Technology,Semiconductor
6526,Socionext Inc.,,,,0.045700002,0.04348,0.087740004,,0.282,0.0175,0.216154503514708,-0.251344346044759,-0.130973031230771,-0.0272967701395911,30186601500,499574046720,57.797604,19.946808,3.7544162,0.0700206495213066,0.0783200908059024,-0.00835073068893528,0.0479867622724766,0.131176820797777,0.0836501901140684,0.258278145695364,0.0815939278937381,0.12280701754386,-0.403508771929825,-0.192982456140351,2850,,,,,2.89758662137822,Industrials,Semiconductor
6532,"Baycurrent, Inc.",,,,0.22564,0.2551,0.37120998,0.05618,0.236,0.0194,-0.0933293314324304,-0.186634953312682,-0.174618581505988,-0.279907683046222,11903863440,1003072323584,26.881979,26.742327,8.682722,0.00329835082458771,-0.0301449275362319,0.00314795383001049,0.0642493638676845,0.209907792442596,0.23082582306419,0.206853020739405,0.191595441595442,0.509264793783622,-0.0436341900777047,0.116143305439331,6692,,,1.5,Strong Buy,1.00522213343663,Industrials,Momentum
6645,OMRON Corporation,,,,0.026029998,0.03712,0.07811,0.24107,,0.0173,-0.0276918068125403,-0.244891287087403,-0.178931863134819,-0.12416550008959,8417846400,1181742661632,34.601875,22.171394,1.4137625,0.0245482441186498,0.0344234079173838,-0.00759577278731836,0.00133288903698767,0.0709194583036351,-0.0202151940006521,0.0947176684881603,0.0463091922005571,0.331114808652246,-0.334442595673877,-0.0621690515806989,6010,,,,,1.56065401210226,Technology,-
6701,NEC Corporation,,,,0.051230002,0.075430006,0.15059,0.21439,0.239,0.0092,-0.361618715583065,-0.345331796083794,-0.236051519432352,-0.206372489383984,30580147500,5747048972288,21.367985,6.0267606,2.6163642,-0.0120839033287734,-0.00344986200551978,0.0395873320537428,0.0884199949761367,0.141765480895916,0.153620873269436,0.117040474349059,0.0560565439922008,0.846295868912993,0.153934918070621,0.382606392799446,4333,,,1.3,Strong Buy,3.54551747086154,Technology,-
6702,Fujitsu Limited,,,,0.06544,0.12829,0.14269,0.0651,,0.0164,-0.520520131585595,-0.467406282016232,-0.438745512535132,-0.271953007901161,20334430740,5806299807744,19.15746,22.063284,2.867431,-0.0132665094339623,-0.0132665094339623,0.00631389055923031,0.0339820821748533,0.0462644576430134,0.0423544067268764,0.0266871165644172,-0.00623515439429929,0.79265013444876,0.144308335823125,0.364252763668957,3347,,,1.8,Buy,0.868295943613834,Technology,Momentum
6723,Renesas Electronics Corporation,,,,0.04354,-0.00691,0.24341999,0.47323,1.585,0.0059,-0.294830444161319,-0.121987576974474,-0.079344740067247,-0.150726789971929,73254322200,8639671697408,,17.750782,3.400418,-0.0114178949553664,0.00379426644182125,-0.0120331950207469,-0.0704665235213742,-0.00791666666666667,0.00591465990705534,0.0934557979334099,0.0582222222222222,0.322973540529189,-0.580008399832003,-0.0267503149937002,4762,,,1.9,Buy,,Technology,Momentum/Semiconductor
6724,Seiko Epson Corporation,,,,0.033069998,0.01288,0.05617,0.27114,,0.0279,-0.0261803254886951,-0.310115335827257,-0.046950923559812,-0.198065892016209,6574944680,919307223040,50.50167,14.205783,1.0770991,0.0301615798922801,0.0022707423580786,0.0220876380477378,0.0578908554572271,0.065948355935352,0.0436522371771553,0.0376130198915009,-0.0199829205807003,0.115371209480655,-0.442314395259672,-0.161293133495992,2869,,,3,Hold,3.55500784434058,Technology,-
6728,"ULVAC, Inc.",,,,0.03312,0.04975,0.09246001,0.18785,0.082,0.0152,0.0858502823686402,-0.242318872877551,-0.225366480405481,0.15345473679554,5062360760,491442864128,39.369705,15.242888,2.140195,0.0656856472595436,0.0499001996007984,-0.00853174603174603,-0.102066486972147,-0.00685680214647719,-0.0107306399321093,0.149309848479659,0.0674408033476015,0.23073844306584,-0.289573744246548,0.0393736241745047,9994,,,1.7,Buy,2.58282452774041,Industrials,Semiconductor
6752,Panasonic Holdings Corporation,,,,0.029159999,0.02355,0.14477,0.29788,-0.174,0.0121,-0.253007279196793,-0.0336046515540511,0.00282624690444472,0.330081875085992,63099187200,10460107636736,55.247257,26.532425,2.0070858,0.00561167227833895,0.0181818181818182,-0.00928792569659443,-0.0607966457023061,-0.013215859030837,0.0138040280606472,0.178947368421053,0.210810810810811,0.1875,-0.419642857142857,-0.0534524553571428,4480,,,1.9,Buy,2.08225433596816,Technology,-
6753,Sharp Corporation,,,,0.02106,0.02506,0.01594,1.47996,,,-0.354075645297979,-0.334450869618214,-0.308807842231329,0.0294960333843281,2490716736,420945526784,8.8735285,11.915089,1.4935138,0.00185446524391514,-0.0114363951396359,0.014395282061508,0.0190191568072953,0.0694490051883908,0.131018817504567,0.0641825131475554,0.0431214802896218,0.372821224741632,-0.244177078513034,0.0555077896035787,648.3,,,,,0.744730358287714,Technology,Momentum
