1593,MAXIS JPX日経インデックス400上場投信,,,,,三菱 UFJ アセットマネジメント株式会社
,（ＭＡＸＩＳ　ＪＰＸ－Ｎｉｋｋｅｉ４００）,,,,,"Mitsubishi UFJ Asset Management Co., Ltd."
,,,,,,
Net Asset / JPY,純資産総額／日本円（Net Asset / JPY),1182958398471 ,,Date,基準日：,2026/09/03
Common Stocks*,株式組入比率(Common Stocks)*,98.77%,,,,
Future contracts*,先物組入比率(Future contracts)*,1.23%,,,,
Option*,オプション組入比率(Option)*,0.00%,,,,
Bonds*,債券組入比率(Bonds)*,0.00%,,,,
Cash,Cash比率,1.23%,,,,
Number of Holdings,保有銘柄数（Number of Holdings),401 ,,,,
*% of net asset,  * : 対純資産総額比（% of net asset）,,,,,
,,,,,,
保有銘柄（Holdings Detail),Holdings Detail,,,,,
No,銘柄コード(code),銘柄名,銘柄名(英語),株数,評価額,純資産比率
,code,name(Jp),Name(En),Shares Held,Market Value/Jpy,(% of net asset)
155,5334,日本特殊陶業　　　　　　　　　　　　　　,"NITERRA CO.,LTD.                                                                ",250600 ,1980742400 ,0.17%
156,5344,ＭＡＲＵＷＡ　　　　　　　　　　　　　　,"MARUWA CO.,LTD.                                                                 ",12700 ,641604000 ,0.05%
157,5393,ニチアス　　　　　　　　　　　　　　　　,NICHIAS CORPORATION                                                             ,240200 ,787856000 ,0.07%
158,5401,日本製鉄　　　　　　　　　　　　　　　　,NIPPON STEEL CORPORATION                                                        ,8601700 ,6060757820 ,0.51%
159,5406,神戸製鋼所　　　　　　　　　　　　　　　,"KOBE STEEL,LTD.                                                                 ",638000 ,1307900000 ,0.11%
160,5411,ＪＦＥホールディングス　　　　　　　　　,"JFE HOLDINGS,INC.                                                               ",1023600 ,1933068600 ,0.16%
161,5471,大同特殊鋼　　　　　　　　　　　　　　　,"DAIDO STEEL CO.,LTD.                                                            ",223600 ,509584400 ,0.04%
162,547A,ムニノバホールディングス　　　　　　　　,MUNINOVA HOLDINGS INC.                                                          ,498700 ,214441000 ,0.02%
163,5706,三井金属　　　　　　　　　　　　　　　　,"MITSUI KINZOKU COMPANY,LIMITED                                                  ",78800 ,2009794000 ,0.17%
164,5713,住友金属鉱山　　　　　　　　　　　　　　,"SUMITOMO METAL MINING CO.,LTD.                                                  ",432300 ,4392168000 ,0.37%
